,Name,Attribute Vector,Percentiles
0,Yunis Abdelhamid,"[0.03, 0.06, 0.86, 0.05, 0.03, 0.09, 1.16, 54.89, 82.7, 5.81, 1.08, 0.57, 1.05, 0.27, 2.22, 1.73, 1.76, 3.14, 2.51]","[43, 74, 93, 82, 65, 72, 89, 57, 37, 96, 86, 92, 76, 61, 88, 84, 93, 25, 74]"
1,Francesco Acerbi,"[0.0, 0.04, 0.7, 0.05, 0.03, 0.07, 1.18, 59.34, 88.3, 3.47, 1.26, 0.22, 0.89, 0.89, 1.16, 1.4, 0.89, 3.52, 2.77]","[20, 46, 80, 82, 72, 54, 91, 69, 79, 60, 89, 56, 59, 90, 25, 66, 15, 43, 83]"
2,Tosin Adarabioyo,"[0.04, 0.03, 0.69, 0.0, 0.02, 0.05, 0.78, 56.12, 82.0, 4.1, 0.69, 0.22, 0.82, 0.13, 1.3, 1.12, 0.86, 6.04, 2.55]","[62, 29, 79, 28, 46, 31, 57, 61, 32, 77, 61, 57, 53, 30, 36, 40, 13, 98, 76]"
3,Emmanuel Agbadou,"[0.0, 0.06, 0.83, 0.11, 0.09, 0.15, 1.17, 56.27, 85.8, 4.94, 0.57, 0.3, 0.79, 0.3, 2.68, 1.21, 1.13, 4.03, 2.26]","[20, 73, 91, 98, 99, 96, 90, 61, 56, 89, 52, 69, 50, 64, 97, 47, 38, 62, 63]"
4,Nayef Aguerd,"[0.11, 0.12, 0.68, 0.0, 0.03, 0.15, 0.79, 43.05, 78.5, 1.41, 0.11, 0.23, 1.3, 0.23, 1.52, 1.02, 1.47, 4.46, 1.81]","[94, 97, 77, 28, 68, 95, 58, 18, 14, 2, 4, 59, 89, 52, 53, 30, 80, 75, 34]"
5,Joseph Aidoo,"[0.09, 0.03, 0.4, 0.0, 0.0, 0.03, 0.29, 50.96, 86.4, 2.74, 0.43, 0.23, 0.43, 0.06, 1.47, 0.89, 0.75, 4.33, 1.82]","[85, 26, 40, 28, 7, 13, 4, 43, 63, 36, 39, 60, 14, 11, 49, 19, 6, 72, 34]"
6,Emanuel Aiwum,"[0.0, 0.01, 0.16, 0.0, 0.02, 0.03, 0.6, 44.48, 79.1, 2.5, 1.03, 0.16, 0.27, 0.38, 2.99, 1.36, 1.52, 2.83, 1.52]","[20, 7, 7, 28, 57, 14, 34, 22, 15, 28, 84, 43, 4, 71, 99, 62, 83, 15, 19]"
7,Kristoffer Ajer,"[0.0, 0.0, 0.12, 0.0, 0.0, 0.01, 0.47, 40.69, 75.1, 3.66, 1.18, 0.12, 1.06, 1.42, 1.3, 0.83, 0.71, 2.6, 1.77]","[20, 1, 4, 28, 3, 1, 16, 12, 4, 65, 88, 32, 77, 96, 36, 14, 4, 9, 31]"
8,Manuel Akanji,"[0.03, 0.06, 0.61, 0.03, 0.02, 0.08, 1.2, 80.39, 92.7, 4.46, 0.95, 0.19, 1.31, 0.7, 1.75, 0.7, 1.14, 1.48, 0.92]","[45, 71, 70, 61, 58, 66, 92, 97, 97, 83, 80, 50, 89, 86, 69, 7, 41, 1, 2]"
9,Kevin Akpoguma,"[0.0, 0.03, 0.37, 0.0, 0.02, 0.06, 0.78, 47.26, 79.5, 3.92, 0.78, 0.32, 0.74, 1.06, 3.46, 1.11, 2.08, 3.23, 2.63]","[20, 24, 32, 28, 60, 40, 58, 31, 19, 72, 69, 74, 43, 93, 99, 37, 98, 29, 79]"
