,Name,Attribute Vector,Percentiles
0,Matthis Abline,"[0.26, 0.28, 3.07, 0.09, 0.08, 0.37, 2.13, 12.21, 65.7, 1.11, 1.96, 1.2, 5.81, 5.72, 0.51, 0.34, 0.77, 0.34, 1.2]","[29, 29, 77, 35, 23, 25, 37, 1, 32, 14, 75, 76, 76, 47, 37, 84, 72, 16, 29]"
1,Matthis Abline,"[0.26, 0.28, 3.07, 0.09, 0.08, 0.37, 2.13, 12.21, 65.7, 1.11, 1.96, 1.2, 5.81, 5.72, 0.51, 0.34, 0.77, 0.34, 1.2]","[29, 29, 77, 35, 23, 25, 37, 1, 32, 14, 75, 76, 76, 47, 37, 84, 72, 16, 29]"
2,Tammy Abraham,"[0.27, 0.43, 2.38, 0.21, 0.15, 0.58, 2.77, 20.96, 64.5, 2.03, 1.44, 0.79, 4.86, 5.68, 0.85, 0.09, 0.56, 0.53, 3.56]","[31, 74, 39, 82, 71, 74, 73, 42, 28, 69, 52, 42, 55, 45, 76, 20, 34, 36, 85]"
3,Che Adams,"[0.23, 0.3, 2.12, 0.14, 0.13, 0.42, 2.58, 22.5, 66.3, 1.54, 0.77, 0.72, 4.65, 5.2, 0.77, 0.18, 0.59, 0.99, 2.76]","[21, 39, 25, 60, 61, 42, 64, 56, 34, 37, 18, 38, 43, 33, 68, 51, 40, 74, 72]"
4,Sargis Adamyan,"[0.14, 0.48, 2.93, 0.28, 0.11, 0.57, 3.07, 25.02, 68.7, 3.35, 1.68, 0.84, 6.71, 8.11, 1.96, 0.56, 1.68, 0.7, 1.68]","[8, 86, 72, 95, 50, 73, 83, 71, 52, 92, 63, 48, 93, 88, 99, 98, 99, 45, 42]"
5,Felix Afena-Gyan,"[0.0, 0.21, 2.31, 0.0, 0.01, 0.22, 1.65, 21.26, 75.6, 0.88, 2.42, 0.77, 3.08, 5.95, 0.77, 0.11, 0.55, 0.66, 1.87]","[1, 8, 35, 6, 1, 2, 11, 44, 80, 5, 86, 42, 2, 50, 68, 26, 33, 43, 49]"
6,Ludovic Ajorque,"[0.27, 0.33, 2.45, 0.05, 0.12, 0.45, 2.54, 30.42, 62.8, 2.0, 0.32, 0.45, 5.72, 6.36, 0.5, 0.14, 0.5, 0.68, 6.4]","[34, 45, 42, 17, 55, 46, 62, 88, 21, 68, 3, 14, 74, 58, 36, 38, 28, 44, 97]"
7,Ludovic Ajorque,"[0.27, 0.33, 2.45, 0.05, 0.12, 0.45, 2.54, 30.42, 62.8, 2.0, 0.32, 0.45, 5.72, 6.36, 0.5, 0.14, 0.5, 0.68, 6.4]","[34, 45, 42, 17, 55, 46, 62, 88, 21, 68, 3, 14, 74, 58, 36, 38, 28, 44, 97]"
8,Mohamed Ali Cho,"[0.13, 0.23, 3.08, 0.26, 0.21, 0.45, 2.57, 25.55, 65.8, 1.16, 4.49, 2.7, 4.11, 9.63, 1.67, 0.26, 1.28, 0.39, 0.64]","[7, 13, 78, 93, 91, 48, 63, 74, 32, 17, 98, 98, 22, 95, 99, 74, 98, 20, 14]"
9,Julián Álvarez,"[0.51, 0.4, 2.78, 0.09, 0.13, 0.53, 3.3, 28.92, 79.0, 2.14, 2.09, 1.11, 5.29, 6.27, 1.44, 0.19, 0.65, 0.32, 0.56]","[81, 62, 66, 38, 63, 63, 88, 87, 90, 72, 78, 72, 67, 55, 96, 53, 53, 15, 11]"
10,Komnen Andrić,"[0.19, 0.24, 1.74, 0.19, 0.06, 0.3, 1.99, 26.64, 74.8, 1.68, 0.5, 0.37, 3.24, 5.48, 0.81, 0.5, 0.5, 0.81, 2.8]","[14, 16, 8, 76, 9, 9, 26, 80, 78, 49, 7, 9, 3, 39, 75, 97, 27, 54, 73]"
11,Michail Antonio,"[0.25, 0.32, 1.92, 0.15, 0.06, 0.38, 1.92, 17.12, 53.4, 1.33, 2.41, 1.28, 3.94, 5.9, 0.69, 0.25, 0.64, 0.44, 2.46]","[26, 45, 15, 64, 15, 27, 21, 15, 3, 26, 85, 79, 17, 49, 60, 72, 50, 24, 67]"
12,Cameron Archer,"[0.72, 0.42, 2.43, 0.39, 0.28, 0.7, 2.89, 21.32, 80.6, 1.25, 1.97, 1.38, 6.12, 6.91, 0.33, 0.07, 0.33, 0.2, 0.07]","[97, 78, 40, 99, 99, 94, 79, 52, 96, 23, 88, 91, 90, 82, 13, 10, 15, 7, 1]"
13,Marko Arnautović,"[0.41, 0.28, 1.65, 0.0, 0.11, 0.39, 2.59, 27.47, 70.2, 2.12, 0.76, 0.76, 3.35, 6.82, 0.53, 0.12, 0.65, 0.59, 0.59]","[67, 31, 6, 6, 50, 33, 64, 84, 59, 72, 17, 42, 4, 70, 39, 28, 52, 38, 12]"
14,Arthur,"[0.38, 0.4, 3.27, 0.06, 0.05, 0.44, 2.26, 17.03, 67.5, 1.32, 0.69, 0.94, 6.41, 5.41, 0.57, 0.06, 0.63, 0.75, 3.08]","[56, 61, 83, 27, 8, 44, 44, 15, 43, 24, 12, 58, 89, 36, 43, 9, 48, 48, 77]"
15,Iago Aspas,"[0.31, 0.27, 2.35, 0.09, 0.18, 0.45, 4.42, 38.5, 76.3, 5.08, 2.51, 0.69, 4.55, 7.5, 0.25, 0.22, 0.31, 0.72, 0.97]","[42, 27, 36, 39, 85, 48, 95, 95, 84, 97, 86, 36, 39, 82, 6, 62, 6, 48, 23]"
16,Pierre-Emerick Aubameyang,"[0.28, 0.36, 2.98, 0.09, 0.08, 0.44, 1.58, 20.12, 75.5, 1.3, 1.58, 0.28, 4.84, 5.59, 0.09, 0.19, 0.56, 0.65, 0.56]","[37, 54, 75, 38, 25, 44, 7, 38, 80, 23, 59, 7, 54, 43, 1, 53, 34, 42, 11]"
17,Pierre-Emerick Aubameyang,"[0.28, 0.36, 2.98, 0.09, 0.08, 0.44, 1.58, 20.12, 75.5, 1.3, 1.58, 0.28, 4.84, 5.59, 0.09, 0.19, 0.56, 0.65, 0.56]","[37, 54, 75, 38, 25, 44, 7, 38, 80, 23, 59, 7, 54, 43, 1, 53, 34, 42, 11]"
