,Name,Attribute Vector,Percentiles
0,Abner,"[0.0, 0.21, 0.75, 0.0, 0.02, 0.24, 1.12, 48.86, 71.7, 2.12, 1.12, 0.75, 1.75, 3.49, 1.62, 1.0, 1.62, 3.74, 1.25]","[20, 99, 62, 11, 4, 85, 4, 35, 20, 4, 12, 56, 68, 31, 31, 52, 91, 99, 73]"
1,Marcos Acuña,"[0.1, 0.05, 0.92, 0.1, 0.16, 0.2, 2.66, 57.39, 73.1, 4.4, 2.06, 1.23, 1.08, 4.08, 2.85, 0.95, 0.85, 1.65, 1.3]","[83, 55, 74, 59, 83, 72, 78, 67, 26, 69, 47, 83, 40, 45, 89, 45, 18, 32, 75]"
2,Ruben Aguilar,"[0.0, 0.02, 0.35, 0.0, 0.08, 0.1, 1.39, 64.93, 82.6, 7.85, 2.5, 0.49, 1.74, 5.9, 1.39, 1.32, 1.11, 1.94, 0.83]","[20, 22, 22, 11, 37, 28, 14, 86, 79, 99, 68, 33, 68, 78, 16, 79, 44, 46, 45]"
3,Ola Aina,"[0.1, 0.08, 0.82, 0.1, 0.22, 0.3, 2.77, 55.89, 73.9, 4.42, 3.6, 2.36, 1.34, 4.42, 1.75, 1.13, 1.23, 2.67, 1.23]","[86, 81, 67, 62, 95, 93, 79, 64, 29, 70, 92, 99, 52, 55, 37, 63, 58, 81, 73]"
4,Rayan Aït Nouri,"[0.08, 0.06, 0.84, 0.0, 0.08, 0.14, 1.92, 48.35, 81.3, 3.6, 2.51, 2.34, 2.34, 6.36, 2.76, 0.75, 0.25, 2.34, 1.17]","[79, 66, 68, 11, 45, 52, 45, 33, 73, 43, 68, 98, 83, 83, 87, 24, 1, 69, 70]"
5,Nathan Aké,"[0.04, 0.06, 0.47, 0.0, 0.04, 0.1, 1.12, 87.46, 90.7, 7.04, 1.23, 0.18, 1.27, 1.41, 1.38, 0.98, 0.8, 2.21, 1.81]","[50, 69, 36, 11, 8, 32, 5, 99, 98, 96, 17, 4, 46, 2, 16, 49, 12, 60, 92]"
6,Sergio Akieme,"[0.04, 0.06, 0.9, 0.0, 0.08, 0.14, 1.41, 41.57, 77.4, 2.27, 2.35, 1.06, 1.37, 3.29, 1.06, 0.55, 0.86, 1.61, 0.55]","[53, 66, 73, 11, 39, 50, 16, 14, 52, 6, 61, 75, 53, 28, 5, 9, 18, 29, 22]"
7,Jordi Alba,"[0.11, 0.04, 0.77, 0.22, 0.39, 0.43, 3.92, 93.42, 83.6, 9.16, 2.65, 0.33, 2.76, 10.43, 1.43, 0.72, 0.99, 1.49, 0.44]","[88, 52, 63, 91, 99, 99, 97, 99, 84, 99, 72, 18, 90, 99, 17, 20, 32, 24, 15]"
8,Trent Alexander-Arnold,"[0.08, 0.07, 1.24, 0.23, 0.32, 0.39, 3.86, 87.26, 75.4, 7.28, 1.37, 0.89, 1.5, 4.36, 1.93, 1.19, 0.81, 1.12, 0.56]","[76, 74, 89, 92, 99, 97, 96, 98, 40, 98, 21, 68, 59, 53, 47, 69, 14, 9, 23]"
9,Jim Allevinah,"[0.04, 0.1, 1.2, 0.04, 0.08, 0.18, 1.93, 34.01, 77.6, 2.37, 3.29, 1.36, 2.61, 5.66, 1.56, 0.96, 0.96, 1.04, 0.48]","[55, 87, 87, 30, 42, 64, 46, 2, 54, 7, 88, 88, 89, 77, 27, 47, 29, 5, 18]"
